region_name,region_code,continent_code
Eastern Africa,14,AF
Middle Africa,17,AF
Northern Africa,15,AF
Southern Africa,18,AF
Western Africa,11,AF
Caribbean,29,SA
Central America,13,SA
South America,5,SA
North America,21,NA
Central Asia,143,AS
Eastern Asia,30,AS
Southern Asia,34,AS
South-Eastern Asia,35,AS
Western Asia,145,AS
Eastern Europe,151,EU
Northern Europe,154,EU
Southern Europe,39,EU
Western Europe,155,EU
Australia and New Zealand,53,OC
Melanesia,54,OC
Polynesia,61,OC
Micronesia,57,OC
